Time [das],Tension [g],Steps
1096.9451,539,100
1097.0391,539,100
1097.1321,539,100
1097.2261,539,100
1097.3232,539,100
1097.4251,539,100
1097.5232,539,100
1097.6191,539,100
1097.7562,539,100
1097.8511,539,100
1097.9451,539,100
1098.038,539,100
1098.133,539,100
1098.227,539,100
1098.323,539,100
1098.416,539,100
1098.511,539,100
1098.605,539,100
1098.699,539,100
1098.836,539,100
1098.931,539,100
1099.023,539,100
1099.117,539,100
1099.2161,539,100
1099.317,539,100
1099.411,539,100
1099.504,539,100
1099.5961,539,100
1099.6901,539,100
1099.786,539,100
1099.928,539,100
1100.0221,539,100
1100.1179,539,100
1100.2119,539,100
1100.3069,539,100
1100.4009,539,100
1100.4941,539,100
1100.5909,539,100
1100.6859,539,100
1100.7809,539,100
1100.8751,539,100
1101.0159,539,100
1101.1089,539,100
1101.203,539,100
1101.2959,539,100
1101.3899,539,100
1101.4829,539,100
1101.581,539,100
1101.6749,539,100
1101.773,539,100
1101.8679,539,100
1101.9629,539,100
1102.0989,539,100
1102.1938,539,100
1102.2918,539,100
1102.3879,539,100
1102.4849,539,100
1102.5838,539,100
1102.6808,539,100
1102.7788,539,100
1102.8738,539,100
1102.9718,539,100
1103.0658,539,100
1103.2048,539,100
1103.2969,539,100
1103.392,539,100
1103.4891,539,100
1103.5838,539,100
1103.6778,539,100
1103.7718,539,100
1103.8668,539,100
1103.9608,539,100
1104.0588,539,100
1104.1519,539,100
1104.2898,539,100
1104.3838,539,100
1104.4779,539,100
1104.5717,539,100
1104.6657,539,100
1104.7588,539,100
1104.8557,539,100
1104.9489,539,100
1105.0437,539,100
1105.1367,539,100
1105.2309,539,100
1105.3677,539,100
1105.4637,539,100
1105.5567,539,100
1105.6497,539,100
1105.7428,539,100
1105.8418,539,100
1105.9377,539,100
1106.0339,539,100
1106.1337,539,100
1106.2278,539,100
1106.3238,539,100
1106.4667,539,100
1106.5677,539,100
1106.6677,539,100
1106.7646,539,100
1106.8636,539,100
1106.9586,539,100
1107.0526,539,100
1107.1507,539,100
1107.2506,539,100
1107.3448,539,100
1107.4386,539,100
1107.5766,539,100
1107.6747,539,100
1107.7717,539,100
1107.8687,539,100
1107.9636,539,100
1108.0576,539,100
1108.1526,539,100
1108.2456,539,100
1108.3416,539,100
1108.4386,539,100
1108.5336,539,100
1108.6696,539,100
1108.7636,539,100
1108.8576,539,100
1108.9546,539,100
1109.0476,539,100
1109.1437,539,100
1109.2377,539,100
1109.3325,539,100
1109.4265,539,100
1109.5295,539,100
1109.6317,539,100
1109.7825,539,100
1109.8825,539,100
1109.9857,539,100
1110.0846,539,100
1110.1815,539,100
1110.2805,539,100
1110.3755,539,100
1110.4695,539,100
1110.5635,539,100
1110.6565,539,100
1110.7515,539,100
1110.8906,539,100
1110.9875,539,100
1111.0806,539,100
1111.1745,539,100
1111.2675,539,100
1111.3646,539,100
1111.4605,539,100
1111.5585,539,100
1111.6534,539,100
1111.7475,539,100
1111.8414,539,100
1111.9766,539,100
1112.0727,539,100
1112.1715,539,100
1112.2704,539,100
1112.3634,539,100
1112.4584,539,100
1112.5514,539,100
1112.6455,539,100
1112.7435,539,100
1112.8394,539,100
1112.9334,539,100
1113.0734,539,100
1113.1674,539,100
1113.2614,539,100
1113.3585,539,100
1113.4544,539,100
1113.5474,539,100
1113.6414,539,100
1113.7344,539,100
1113.8285,539,100
1113.9234,539,100
1114.0213,539,100
1114.1593,539,100
1114.2553,539,100
1114.3523,539,100
1114.4475,539,100
